iso3,gid_id,pop_est,income_group,continent,area_km2,total_pop,, total_vul_pop ,,
CHN,CHN.15.6_1,4659.095412,UMC,Asia,32.39875765,4477458.696,,,,
CHN,CHN.15.7_1,9229428.349,UMC,Asia,6933.300161,12980496.66,,,,
CHN,CHN.15.8_1,493989.4331,UMC,Asia,738.3007658,4556731.68,,,,
CHN,CHN.15.9_1,1197760.014,UMC,Asia,589.950952,8208016.709,,,,
CHN,CHN.15.11_1,2817288.128,UMC,Asia,9882.088695,6730903.52,,,,
CHN,CHN.15.12_1,359379.4156,UMC,Asia,645.9419883,4407522.369,,,,
CHN,CHN.15.13_1,664831.1273,UMC,Asia,867.795315,3498951.754,,,,
CHN,CHN.18.1_1,8131.484868,UMC,Asia,71.1307188,3788216.684,,,,
CHN,CHN.18.4_1,131566.913,UMC,Asia,369.6938378,7351288.224,,,,
CHN,CHN.18.5_1,153213.1474,UMC,Asia,490.6056375,2520232.994,,,,
CHN,CHN.18.8_1,58936.34678,UMC,Asia,220.7991534,2672788.478,,,,
CHN,CHN.18.9_1,27895.88787,UMC,Asia,480.5753399,3266605.614,,,,
CHN,CHN.18.11_1,177761.8027,UMC,Asia,1676.208522,1615690.545,,,,
CHN,CHN.18.13_1,314901.6281,UMC,Asia,776.3245142,5201278.408,,,,
CHN,CHN.23.1_1,12147.90533,UMC,Asia,1170.996807,3592624.194,,,,
CHN,CHN.23.3_1,75292.4483,UMC,Asia,2918.511404,2347027.309,,,,
CHN,CHN.23.10_1,696005.5256,UMC,Asia,875.2550954,10101966.38,,,,
CHN,CHN.23.11_1,151700.5374,UMC,Asia,188.7028912,2970622.669,,,,
CHN,CHN.23.13_1,197382.9011,UMC,Asia,1617.814673,9805983.359,,,,
CHN,CHN.23.14_1,58631.04612,UMC,Asia,261.6405801,2988094.504,,,,
CHN,CHN.23.15_1,289405.8213,UMC,Asia,591.2965177,7159418.186,,,,
CHN,CHN.24.1_1,14351808.96,UMC,Asia,6243.646352,32118868.96,,,,
CHN,CHN.27.1_1,3114406.948,UMC,Asia,3152.040916,17061843.87,,,,
CHN,CHN.31.1_1,1082251.216,UMC,Asia,1149.964333,11212685.29,,,,
